               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10519,            0.084451,             0.10667,                   0,                   0,                   0,                   0,               0.101,             0.06065,             0.10283,              0.0007,              0.0007,              0.0937
                   1,             0.10499,            0.083085,             0.10641,                   0,                   0,                   0,                   0,             0.10098,            0.060634,             0.10283,            0.001495,            0.001495,            0.086495
                   2,             0.10439,            0.083736,             0.10508,                   0,                   0,                   0,                   0,             0.10097,            0.060672,             0.10282,           0.0022848,           0.0022848,            0.079285
                   3,             0.10407,            0.080826,             0.10415,                   0,                   0,                   0,                   0,             0.10094,            0.060588,             0.10284,           0.0030693,           0.0030693,            0.072069
                   4,             0.10301,            0.082501,             0.10369,                   0,                   0,                   0,                   0,             0.10089,            0.060534,             0.10284,           0.0038485,           0.0038485,            0.064849
                   5,             0.10224,            0.082373,             0.10328,                   0,                   0,                   0,                   0,              0.1008,              0.0605,             0.10283,           0.0046225,           0.0046225,            0.057622
                   6,             0.10126,             0.08036,             0.10292,                   0,                   0,                   0,                   0,             0.10068,            0.060535,             0.10281,           0.0053911,           0.0053911,            0.050391
                   7,             0.10161,            0.083477,             0.10242,                   0,                   0,                   0,                   0,             0.10056,            0.060459,              0.1028,           0.0061545,           0.0061545,            0.043154
                   8,             0.10108,            0.084087,             0.10234,                   0,                   0,                   0,                   0,             0.10043,            0.060444,             0.10276,           0.0069126,           0.0069126,            0.035913
                   9,             0.10156,            0.080626,              0.1025,                   0,                   0,                   0,                   0,             0.10032,            0.060477,             0.10264,           0.0076654,           0.0076654,            0.028665
                  10,             0.10027,            0.082799,             0.10154,                   0,                   0,                   0,                   0,             0.10011,             0.06041,             0.10204,           0.0084129,           0.0084129,            0.021413
                  11,             0.10027,            0.085966,             0.10135,          3.7523e-05,          0.00043554,           2.048e-05,          9.7754e-06,             0.10009,            0.060013,             0.10113,           0.0091552,           0.0091552,            0.014155
                  12,             0.10043,            0.079856,             0.10129,          2.6566e-05,          0.00095939,          1.4221e-05,          3.9203e-06,             0.10076,            0.059176,             0.10023,            0.009604,            0.009604,            0.009604
                  13,             0.09983,            0.083691,             0.10032,          3.3473e-05,           0.0013175,           1.861e-05,          5.4652e-06,             0.10299,            0.057607,              0.1053,            0.009604,            0.009604,            0.009604
                  14,            0.098963,            0.087427,            0.099461,          3.3968e-05,            0.001204,          2.0194e-05,          5.4885e-06,             0.10473,            0.057924,             0.12578,            0.009571,            0.009571,            0.009571
