               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092113,            0.085645,            0.087992,           0.0027656,            0.093527,           0.0031653,           0.0010681,            0.083482,            0.068402,            0.080026,           0.0033315,           0.0033315,            0.070016
                   1,            0.074426,            0.090106,            0.075011,             0.55778,            0.040338,            0.025582,            0.010291,            0.071226,            0.068014,            0.065492,           0.0066429,           0.0066429,            0.039994
                   2,            0.069563,            0.088399,            0.064018,             0.35956,            0.099438,            0.066525,            0.028635,            0.066597,            0.066766,            0.054217,           0.0099322,           0.0099322,           0.0099502
                   3,            0.066271,            0.087339,            0.056181,             0.30911,             0.15745,             0.11615,             0.05479,            0.062675,            0.065084,             0.04611,            0.009901,            0.009901,            0.009901
                   4,            0.064153,            0.086255,            0.051358,               0.312,             0.19166,             0.15095,            0.074601,            0.060715,            0.064048,            0.041925,            0.009901,            0.009901,            0.009901
                   5,            0.062812,            0.085834,            0.048612,             0.34526,             0.21665,             0.18011,             0.09063,            0.059285,            0.063375,             0.03918,            0.009868,            0.009868,            0.009868
                   6,            0.061914,            0.084955,            0.046672,             0.35718,             0.23496,             0.20144,             0.10399,            0.058384,            0.062912,            0.037265,            0.009835,            0.009835,            0.009835
                   7,            0.061225,            0.084566,            0.045069,             0.37513,             0.24644,              0.2156,             0.11276,            0.057705,            0.062597,            0.036019,            0.009802,            0.009802,            0.009802
                   8,            0.060714,            0.084336,            0.043988,             0.40063,             0.25562,             0.22584,             0.11933,            0.057298,            0.062374,            0.035214,            0.009769,            0.009769,            0.009769
                   9,            0.060308,            0.084047,            0.043037,             0.41188,             0.26001,             0.23402,              0.1245,            0.057003,            0.062223,            0.034657,            0.009736,            0.009736,            0.009736
                  10,            0.059941,            0.083857,            0.042286,             0.41955,             0.26285,             0.23893,             0.12765,            0.056789,            0.062096,            0.034265,            0.009703,            0.009703,            0.009703
